Name,slug,parent_slug,parent_id,origin
古巴雪茄,cigar-cuban,,,
非古巴雪茄,cigar-world,,,
世界之王,el-rey-del-mundo,cigar-cuban,,cuban
千里达,trinidad,cigar-cuban,,cuban
卡诺之花,la-flor-de-cano,cigar-cuban,,cuban
古巴荣耀,la-gloria-cubana,cigar-cuban,,cuban
外交官,diplomaticos,cigar-cuban,,cuban
多尔赛码头,quai-dorsay,cigar-cuban,,cuban
大卫杜夫,davidoff-nc,cigar-world,,world
大卫杜夫,davidoff-cuban,cigar-cuban,,cuban
好友,hoyo-de-monterrey,cigar-cuban,,cuban
威古洛,vegueros,cigar-cuban,,cuban
富恩特,arturo-fuente-2,cigar-world,,world
帕拉森,plasencia,cigar-world,,world
帕特加斯,partagas,cigar-cuban,,cuban
库阿巴,cuaba,cigar-cuban,,cuban
拉斐尔,rafael-gonzalez,cigar-cuban,,cuban
桑丘潘沙,sancho-panza,cigar-cuban,,cuban
比亚达,jose-l-piedra,cigar-cuban,,cuban
波尔,por-larranaga,cigar-cuban,,cuban
潘趣,punch,cigar-cuban,,cuban
火神,god-of-fire,cigar-world,,world
乌普曼,h-upmann,cigar-cuban,,cuban
玻利瓦尔,bolivar,cigar-cuban,,cuban
简单,sencillo,cigar-world,,world
维佳,vega-fina,cigar-world,,world
罗伯图精选,combinaciones,cigar-cuban,,cuban
罗密欧,romeo-y-julieta,cigar-cuban,,cuban
罗宾纳,vegas-robaina,cigar-cuban,,cuban
圣克里斯托,san-cristobal,cigar-cuban,,cuban
圣路易斯.雷伊,saint-luis-rey,cigar-cuban,,cuban
胡安,juan-lopez,cigar-cuban,,cuban
蒙特,montecristo,cigar-cuban,,cuban
丰塞卡,fonseca,cigar-cuban,,cuban
金特罗,quintero,cigar-cuban,,cuban
阿图罗·富恩特,arturo-fuente,cigar-world,,world
雷蒙,ramon-allones,cigar-cuban,,cuban
高希霸,cohiba,cigar-cuban,,cuban
