label,url,sort_order,parent_label,meta_type
古巴雪茄,/category/cigar-cuban,0,,category
非古巴雪茄,/category/cigar-world,1,,category
雪茄配件,/category/accessories,2,,category
新品上市,/category/new-arrivals,3,,category
特惠专区,/category/deals,4,,category
雪茄知识,/articles,5,,category
世界之王,/category/el-rey-del-mundo,0,古巴雪茄,category
千里达,/category/trinidad,1,古巴雪茄,category
卡诺之花,/category/la-flor-de-cano,2,古巴雪茄,category
古巴荣耀,/category/la-gloria-cubana,3,古巴雪茄,category
外交官,/category/diplomaticos,4,古巴雪茄,category
多尔赛码头,/category/quai-dorsay,5,古巴雪茄,category
大卫杜夫,/category/davidoff-cuban,6,古巴雪茄,category
好友,/category/hoyo-de-monterrey,7,古巴雪茄,category
威古洛,/category/vegueros,8,古巴雪茄,category
帕特加斯,/category/partagas,9,古巴雪茄,category
库阿巴,/category/cuaba,10,古巴雪茄,category
拉斐尔,/category/rafael-gonzalez,11,古巴雪茄,category
桑丘潘沙,/category/sancho-panza,12,古巴雪茄,category
比亚达,/category/jose-l-piedra,13,古巴雪茄,category
波尔,/category/por-larranaga,14,古巴雪茄,category
潘趣,/category/punch,15,古巴雪茄,category
乌普曼,/category/h-upmann,16,古巴雪茄,category
玻利瓦尔,/category/bolivar,17,古巴雪茄,category
罗伯图精选,/category/combinaciones,18,古巴雪茄,category
罗密欧,/category/romeo-y-julieta,19,古巴雪茄,category
罗宾纳,/category/vegas-robaina,20,古巴雪茄,category
圣克里斯托,/category/san-cristobal,21,古巴雪茄,category
圣路易斯.雷伊,/category/saint-luis-rey,22,古巴雪茄,category
胡安,/category/juan-lopez,23,古巴雪茄,category
蒙特,/category/montecristo,24,古巴雪茄,category
丰塞卡,/category/fonseca,25,古巴雪茄,category
金特罗,/category/quintero,26,古巴雪茄,category
雷蒙,/category/ramon-allones,27,古巴雪茄,category
高希霸,/category/cohiba,28,古巴雪茄,category
大卫杜夫,/category/davidoff-nc,0,非古巴雪茄,category
富恩特,/category/arturo-fuente-2,1,非古巴雪茄,category
帕拉森,/category/plasencia,2,非古巴雪茄,category
火神,/category/god-of-fire,3,非古巴雪茄,category
简单,/category/sencillo,4,非古巴雪茄,category
维佳,/category/vega-fina,5,非古巴雪茄,category
阿图罗·富恩特,/category/arturo-fuente,6,非古巴雪茄,category
入门指南,/articles?category=beginner,0,雪茄知识,
品鉴技巧,/articles?category=tasting,1,雪茄知识,
保养存储,/articles?category=storage,2,雪茄知识,
