type,row_index,brand_cn,brand_en,model,price,size,search_query,image_url,local_image1,local_image2,local_image3,local_image4,local_image5
cuban,3,大衛杜夫,Davidoff,尼加拉瓜系列10週年限量版 Nicaragua 10th Anniversary (12枝),4800,長度:152 環徑:56,Davidoff Nicaragua Anniversary cigar,,product_images/batch1/Davidoff_Nicaragua_10th_1.jpg,product_images/batch1/Davidoff_Nicaragua_10th_2.jpg,product_images/batch1/Davidoff_Nicaragua_10th_Anniversary_1.jpg,product_images/batch1/Davidoff_Nicaragua_10th_Anniversary_2.jpg,product_images/batch1/Davidoff_Nicaragua_10th_Anniversary_3.jpg
cuban,4,大衛杜夫,Davidoff,兔年限量版 YEAR OF RABBIT (10枝),4500,長度:151 環徑:54,Davidoff YEAR OF RABBIT cigar,,product_images/batch1/Davidoff_YEAR_OF_RABBIT_1.jpg,product_images/batch1/Davidoff_YEAR_OF_RABBIT_2.jpg,product_images/batch1/Davidoff_YEAR_OF_RABBIT_3.jpg,product_images/batch1/Davidoff_YEAR_OF_RABBIT_4.jpg,product_images/batch1/Davidoff_YEAR_OF_RABBIT_5.jpg
cuban,5,大衛杜夫,Davidoff,署名2000 SIGNATURE 2000 (20枝),2900,長度:127環徑:43,Davidoff SIGNATURE cigar,,product_images/batch1/Davidoff_SIGNATURE_2000_2.jpg,product_images/batch1/Davidoff_SIGNATURE_2000_3.jpg,product_images/batch1/Davidoff_SIGNATURE_2000_4.jpg,,
cuban,6,大衛杜夫,Davidoff,週年特別版T Aniversario Special T（20支）,4800,長度:152環徑:52,Davidoff T Aniversario Special cigar,,product_images/batch1/Davidoff_Aniversario_Special_T_1.jpg,product_images/batch1/Davidoff_Aniversario_Special_T_2.jpg,product_images/batch1/Davidoff_Aniversario_Special_T_3.jpg,,
cuban,7,大衛杜夫,Davidoff,千禧魚雷Millennium Piramides（10支）,3100,長度:156環徑:52,Davidoff Millennium Piramides cigar,,product_images/batch1/Davidoff_Millennium_Piramides_2.jpg,product_images/batch1/Davidoff_Millennium_Piramides_3.jpg,,,
cuban,8,大衛杜夫,Davidoff,艾斯库里大高朗拿Escurio Corona （12枝）,2450,長度:152環徑:46,Davidoff Escurio Corona cigar,,,,,,
cuban,9,大衛杜夫,Davidoff,至暗時刻羅伯圖 THE LATE HOUR ROBUSTO (20枝),4400,長度:127 環徑:53,Davidoff THE LATE HOUR cigar,,product_images/batch1/Davidoff_THE_LATE_HOUR_ROBUSTO_2.jpg,product_images/batch1/Davidoff_THE_LATE_HOUR_ROBUSTO_3.jpg,product_images/batch1/Davidoff_The_Late_Hour_Churchill_1.jpg,product_images/batch1/Davidoff_The_Late_Hour_Churchill_2.jpg,product_images/batch1/Davidoff_The_Late_Hour_Churchill_3.jpg
cuban,10,大衛杜夫,Davidoff,至暗時刻丘吉爾 The Late Hour(20枝),4800,長度:178 環徑:48,Davidoff The Late Hour cigar,,,,,,
cuban,11,大衛杜夫,Davidoff,至暗時刻TORO托罗（20枝）,4600,長度:152 環徑:44,,,product_images/batch1/Davidoff_TORO_1.jpg,product_images/batch1/Davidoff_TORO_2.jpg,,,
cuban,13,玻利瓦爾,BOLIVAR,小高朗拿 PETIT CORONAS (25枝),3480,長度:129 環徑:42,BOLIVAR PETIT CORONAS cigar,,product_images/batch1/BOLIVAR_PETIT_CORONAS_1.jpg,product_images/batch1/BOLIVAR_PETIT_CORONAS_2.jpg,product_images/batch1/BOLIVAR_PETIT_CORONAS_3.jpg,product_images/batch1/BOLIVAR_PETIT_CORONAS_4.jpg,product_images/batch1/BOLIVAR_PETIT_CORONAS_5.jpg
cuban,14,玻利瓦爾,BOLIVAR,高朗拿少年 CORONAS SENIORS (25枝),3300,長度:132 環徑:42,BOLIVAR CORONAS SENIORS cigar,,product_images/batch1/BOLIVAR_CORONAS_SENIORS_2.jpg,,,,
cuban,15,玻利瓦爾,BOLIVAR,皇家皇冠 Royal Coronas (25支),5900,長度:124 環徑:50,BOLIVAR Royal Coronas cigar,,product_images/batch1/BOLIVAR_Royal_Coronas_1.jpg,product_images/batch1/BOLIVAR_Royal_Coronas_2.jpg,product_images/batch1/BOLIVAR_Royal_Coronas_3.jpg,,
cuban,16,玻利瓦爾,BOLIVAR,皇家皇冠铝管 Royal Coronas (10支),2800,長度:124 環徑:50,BOLIVAR Royal Coronas cigar,,product_images/batch21/BOLIVAR_Royal_Coronas_1.jpg,product_images/batch21/BOLIVAR_Royal_Coronas_2.jpg,,,
cuban,19,解放者 LCDH Libertadores LCDH (10枝),,比利高魚雷 BELICOSOS FINOS (25枝),7800,長度:140 環徑:52,,,product_images/batch21/BOLIVAR_Belicosos_Finos_1.jpg,product_images/batch21/BOLIVAR_Belicosos_Finos_2.jpg,,,
cuban,21,多爾賽碼頭,QUAI DORSAY,帝國旅行保濕盒 Imperiales Travel Humidor (20枝),11800,長度:178 環徑:47,QUAI DORSAY Imperiales Travel Humidor cigar,,product_images/batch1/QUAI_DORSAY_Imperiales_1.jpg,product_images/batch1/QUAI_DORSAY_Imperiales_2.jpg,,,
cuban,22,多爾賽碼頭,QUAI DORSAY,50號 No.50 (10枝),2280,長度:110 環徑:50,QUAI DORSAY No cigar,,product_images/batch1/QUAI_DORSAY_No50_1.jpg,product_images/batch1/QUAI_DORSAY_No50_2.jpg,product_images/batch1/QUAI_DORSAY_No50_3.jpg,product_images/batch1/QUAI_DORSAY_No50_4.jpg,product_images/batch1/QUAI_DORSAY_No50_5.jpg
cuban,23,多爾賽碼頭,QUAI DORSAY,50號 No.50 (25枝),5900,長度:110 環徑:50,QUAI DORSAY No cigar,,product_images/batch21/Quai_Dorsay_No50_3.jpg,product_images/batch21/Quai_Dorsay_No50_4.jpg,product_images/batch21/Quai_Dorsay_No50_5.jpg,,
cuban,24,多爾賽碼頭,QUAI DORSAY,52號 No.52 (10枝),3600,長度:156 環徑:52,QUAI DORSAY No cigar,,product_images/batch1/QUAI_DORSAY_No52_2.jpg,product_images/batch1/QUAI_DORSAY_No52_3.jpg,,,
cuban,25,多爾賽碼頭,QUAI DORSAY,52號 No.52 (25枝),7500,長度:156 環徑:52,QUAI DORSAY No cigar,,product_images/batch21/Quai_Dorsay_No52_1.jpg,product_images/batch21/Quai_Dorsay_No52_2.jpg,product_images/batch21/Quai_Dorsay_No52_3.jpg,product_images/batch21/Quai_Dorsay_No52_4.jpg,
cuban,26,多爾賽碼頭,QUAI DORSAY,54號 No.54 (10枝),3200,長度:135 環徑:54,QUAI DORSAY No cigar,,product_images/batch1/QUAI_DORSAY_No54_2.jpg,product_images/batch1/QUAI_DORSAY_No54_3.jpg,product_images/batch1/QUAI_DORSAY_No54_4.jpg,,
