type,brand_cn,brand_en,title,price_hkd,quantity,length_mm,ring_gauge,image1,image2,image3,image4,image5
cuban,大衛杜夫,Davidoff,尼加拉瓜系列10週年限量版 Nicaragua 10th Anniversary (12枝),4800,,152,56,product_images/batch1/Davidoff_Nicaragua_10th_1.jpg,product_images/batch1/Davidoff_Nicaragua_10th_2.jpg,product_images/batch1/Davidoff_Nicaragua_10th_Anniversary_1.jpg,product_images/batch1/Davidoff_Nicaragua_10th_Anniversary_2.jpg,product_images/batch1/Davidoff_Nicaragua_10th_Anniversary_3.jpg
cuban,大衛杜夫,Davidoff,兔年限量版 YEAR OF RABBIT (10枝),4500,,151,54,product_images/batch1/Davidoff_YEAR_OF_RABBIT_1.jpg,product_images/batch1/Davidoff_YEAR_OF_RABBIT_2.jpg,product_images/batch1/Davidoff_YEAR_OF_RABBIT_3.jpg,product_images/batch1/Davidoff_YEAR_OF_RABBIT_4.jpg,product_images/batch1/Davidoff_YEAR_OF_RABBIT_5.jpg
cuban,大衛杜夫,Davidoff,署名2000 SIGNATURE 2000 (20枝),2900,,127,43,product_images/batch1/Davidoff_SIGNATURE_2000_2.jpg,product_images/batch1/Davidoff_SIGNATURE_2000_3.jpg,product_images/batch1/Davidoff_SIGNATURE_2000_4.jpg,,
cuban,大衛杜夫,Davidoff,週年特別版T Aniversario Special T（20支）,4800,,152,52,product_images/batch1/Davidoff_Aniversario_Special_T_1.jpg,product_images/batch1/Davidoff_Aniversario_Special_T_2.jpg,product_images/batch1/Davidoff_Aniversario_Special_T_3.jpg,,
cuban,大衛杜夫,Davidoff,千禧魚雷Millennium Piramides（10支）,3100,,156,52,product_images/batch1/Davidoff_Millennium_Piramides_2.jpg,product_images/batch1/Davidoff_Millennium_Piramides_3.jpg,,,
cuban,大衛杜夫,Davidoff,艾斯库里大高朗拿Escurio Corona （12枝）,2450,,152,46,,,,,
cuban,大衛杜夫,Davidoff,至暗時刻羅伯圖 THE LATE HOUR ROBUSTO (20枝),4400,,127,53,product_images/batch1/Davidoff_THE_LATE_HOUR_ROBUSTO_2.jpg,product_images/batch1/Davidoff_THE_LATE_HOUR_ROBUSTO_3.jpg,product_images/batch1/Davidoff_The_Late_Hour_Churchill_1.jpg,product_images/batch1/Davidoff_The_Late_Hour_Churchill_2.jpg,product_images/batch1/Davidoff_The_Late_Hour_Churchill_3.jpg
cuban,大衛杜夫,Davidoff,至暗時刻丘吉爾 The Late Hour(20枝),4800,,178,48,,,,,
cuban,大衛杜夫,Davidoff,至暗時刻TORO托罗（20枝）,4600,,152,44,product_images/batch1/Davidoff_TORO_1.jpg,product_images/batch1/Davidoff_TORO_2.jpg,,,
cuban,玻利瓦爾,BOLIVAR,小高朗拿 PETIT CORONAS (25枝),3480,,129,42,product_images/batch1/BOLIVAR_PETIT_CORONAS_1.jpg,product_images/batch1/BOLIVAR_PETIT_CORONAS_2.jpg,product_images/batch1/BOLIVAR_PETIT_CORONAS_3.jpg,product_images/batch1/BOLIVAR_PETIT_CORONAS_4.jpg,product_images/batch1/BOLIVAR_PETIT_CORONAS_5.jpg
cuban,玻利瓦爾,BOLIVAR,高朗拿少年 CORONAS SENIORS (25枝),3300,,132,42,product_images/batch1/BOLIVAR_CORONAS_SENIORS_2.jpg,,,,
cuban,玻利瓦爾,BOLIVAR,皇家皇冠 Royal Coronas (25支),5900,,124,50,product_images/batch1/BOLIVAR_Royal_Coronas_1.jpg,product_images/batch1/BOLIVAR_Royal_Coronas_2.jpg,product_images/batch1/BOLIVAR_Royal_Coronas_3.jpg,,
cuban,玻利瓦爾,BOLIVAR,皇家皇冠铝管 Royal Coronas (10支),2800,,124,50,product_images/batch21/BOLIVAR_Royal_Coronas_1.jpg,product_images/batch21/BOLIVAR_Royal_Coronas_2.jpg,,,
cuban,玻利瓦爾,BOLIVAR,新金牌金手指 New Gold Medal (10枝),,,165,48,,,,,
cuban,玻利瓦爾,BOLIVAR,解放者 LCDH Libertadores LCDH (10枝),,,164,54,,,,,
cuban,玻利瓦爾,BOLIVAR,比利高魚雷 BELICOSOS FINOS (25枝),7800,,140,52,product_images/batch21/BOLIVAR_Belicosos_Finos_1.jpg,product_images/batch21/BOLIVAR_Belicosos_Finos_2.jpg,,,
cuban,多爾賽碼頭,QUAI DORSAY,帝國旅行保濕盒 Imperiales Travel Humidor (20枝),11800,,178,47,product_images/batch1/QUAI_DORSAY_Imperiales_1.jpg,product_images/batch1/QUAI_DORSAY_Imperiales_2.jpg,,,
cuban,多爾賽碼頭,QUAI DORSAY,50號 No.50 (10枝),2280,,110,50,product_images/batch1/QUAI_DORSAY_No50_1.jpg,product_images/batch1/QUAI_DORSAY_No50_2.jpg,product_images/batch1/QUAI_DORSAY_No50_3.jpg,product_images/batch1/QUAI_DORSAY_No50_4.jpg,product_images/batch1/QUAI_DORSAY_No50_5.jpg
cuban,多爾賽碼頭,QUAI DORSAY,50號 No.50 (25枝),5900,,110,50,product_images/batch21/Quai_Dorsay_No50_3.jpg,product_images/batch21/Quai_Dorsay_No50_4.jpg,product_images/batch21/Quai_Dorsay_No50_5.jpg,,
